City_ID,City,Country,Lat,Lng,Max Temp,% Humidity,Cloudiness,Wind Speed
0,Toowoomba,AU,-27.55,151.9667,294.15,83,40,4.63
1,Victor Harbor,AU,-35.5667,138.6167,292.59,73,35,2.75
2,Formosa do Rio Preto,BR,-11.0483,-45.1931,298.57,79,100,1.95
3,Kapaa,US,22.0752,-159.319,293.15,83,90,8.75
4,Arman',RU,59.7,150.1667,256.35,78,0,1.44
5,Sikasso,ML,10.9167,-7.0,313.13,20,31,1.59
6,Sumbe,AO,-11.2061,13.8437,301.58,72,88,3.0
7,Shrīgonda,IN,18.6167,74.6833,302.62,26,69,2.05
8,Torbay,CA,47.6666,-52.7314,270.37,86,75,7.72
9,Pochutla,MX,15.7432,-96.4661,298.71,61,1,0.32
10,Albany,US,42.6001,-73.9662,277.04,31,0,3.34
11,Port Blair,IN,11.6667,92.75,300.64,65,40,2.46
12,Ushuaia,AR,-54.8,-68.3,277.15,87,40,9.77
13,San Cristobal,VE,7.7669,-72.225,297.15,94,75,3.09
14,Vaini,TO,-21.2,-175.2,298.15,94,20,1.54
15,Kirundo Province,BI,-2.5833,30.1667,299.15,50,40,2.06
16,Iqaluit,CA,63.7506,-68.5145,249.26,64,40,6.69
17,Hermanus,ZA,-34.4187,19.2345,293.15,71,58,0.45
18,Saskylakh,RU,71.9167,114.0833,240.38,99,100,4.07
19,Valls,ES,41.2861,1.2499,287.15,30,20,1.03
20,Bluff,NZ,-46.6,168.3333,285.37,92,85,1.79
21,Arawa,PG,-6.2132,155.5367,298.47,88,99,1.14
22,Lebu,CL,-37.6167,-73.65,288.95,68,100,4.78
23,Naze,JP,28.3667,129.4833,292.48,92,70,4.89
24,Upernavik,GL,72.7868,-56.1549,258.17,95,92,5.47
25,Saint George,US,37.1041,-113.5841,288.15,30,1,7.2
26,Chapais,CA,49.7834,-74.8492,272.15,59,1,4.63
27,Touros,BR,-5.1989,-35.4608,304.15,48,40,6.69
28,Rikitea,PF,-23.1203,-134.9692,299.44,76,96,4.2
29,Cape Town,ZA,-33.9258,18.4232,294.15,56,20,11.83
30,Punta Arenas,CL,-53.15,-70.9167,282.15,61,40,12.35
31,Costa Rica,BR,-23.4167,-54.65,300.34,67,36,5.17
32,Khatanga,RU,71.9667,102.5,235.51,98,74,3.79
33,Lakatoro,VU,-16.0999,167.4164,298.18,87,100,3.73
34,Cidreira,BR,-30.1811,-50.2056,298.39,71,0,8.32
35,Beringovskiy,RU,63.05,179.3167,254.06,91,100,7.44
36,Aylmer,CA,42.7668,-80.983,278.71,69,1,2.04
37,Russell,US,32.3502,-85.1999,282.59,46,90,6.69
38,Kavieng,PG,-2.5744,150.7967,301.53,76,100,3.86
39,Cabo San Lucas,MX,22.8909,-109.9124,291.48,44,20,1.54
40,Vestmanna,FO,62.1564,-7.1664,279.15,87,75,4.12
41,Aquiraz,BR,-3.9014,-38.3911,304.15,58,40,7.72
42,Campoverde,PE,-8.4753,-74.8058,297.15,100,75,1.54
43,Itarema,BR,-2.9248,-39.9167,303.67,59,5,3.48
44,Mataura,NZ,-46.1927,168.8643,285.37,92,79,1.79
45,Mahibadhoo,MV,3.7833,72.9667,301.51,67,1,3.23
46,Dunedin,NZ,-45.8742,170.5036,287.04,74,13,5.36
47,Hobart,AU,-42.8794,147.3294,289.15,59,90,4.63
48,George Town,MY,5.4112,100.3354,303.15,45,20,3.6
49,Mouzourás,GR,35.5333,24.15,294.15,64,0,2.57
50,Codrington,AU,-38.2667,141.9667,289.82,80,100,3.78
51,Atuona,PF,-9.8,-139.0333,299.65,75,58,4.87
52,Chui,UY,-33.6971,-53.4616,299.16,70,16,5.55
53,Hilo,US,19.7297,-155.09,294.15,78,90,2.06
54,Busselton,AU,-33.65,115.3333,295.93,73,0,3.58
55,Saint-Philippe,RE,-21.3585,55.7679,301.15,69,75,10.29
56,Narsaq,GL,60.9167,-46.05,275.15,75,75,6.69
57,Hasaki,JP,35.7333,140.8333,287.15,88,75,0.51
58,Xining,CN,36.6167,101.7667,270.27,41,100,7.89
59,Santander Jiménez,MX,24.2167,-98.4667,289.54,66,1,1.9
60,Grindavik,IS,63.8424,-22.4338,277.15,81,90,9.26
61,Airai,TL,-8.9266,125.4092,289.61,89,23,0.89
62,Verkhnyaya Inta,RU,65.9811,60.3094,263.09,94,100,0.68
63,Roald,NO,62.5833,6.1333,279.26,100,75,11.32
64,Alofi,NU,-19.0595,-169.9187,296.15,94,100,1.03
65,Sola,VU,-13.8833,167.55,300.64,74,100,5.63
66,Kaeo,NZ,-35.1,173.7833,288.15,85,4,1.34
67,Rodrigues Alves,BR,-7.738,-72.6509,300.24,77,96,0.76
68,Ca Mau,VN,9.1769,105.15,298.68,82,3,1.86
